time prob0 prob1 prob2 attention
0.000 0.417 0.417 0.167 0.800
0.101 0.424 0.396 0.180 0.795
0.202 0.433 0.373 0.194 0.787
0.303 0.443 0.349 0.208 0.778
0.404 0.454 0.323 0.223 0.768
0.505 0.466 0.296 0.238 0.756
0.606 0.478 0.269 0.253 0.742
0.707 0.490 0.241 0.269 0.728
0.808 0.502 0.214 0.285 0.712
0.909 0.512 0.187 0.301 0.696
1.010 0.521 0.163 0.316 0.678
1.111 0.527 0.141 0.331 0.660
1.212 0.532 0.123 0.345 0.641
1.313 0.533 0.109 0.358 0.622
1.414 0.532 0.099 0.369 0.603
1.515 0.527 0.094 0.379 0.584
1.616 0.519 0.095 0.386 0.565
1.717 0.509 0.099 0.392 0.545
1.818 0.496 0.108 0.396 0.526
1.919 0.481 0.121 0.398 0.508
2.020 0.466 0.136 0.399 0.490
2.121 0.449 0.153 0.399 0.473
2.222 0.432 0.170 0.398 0.456
2.323 0.415 0.189 0.396 0.440
2.424 0.399 0.206 0.395 0.425
2.525 0.384 0.223 0.393 0.411
2.626 0.369 0.238 0.392 0.398
2.727 0.356 0.252 0.392 0.386
2.828 0.345 0.263 0.392 0.375
2.929 0.334 0.272 0.393 0.365
3.030 0.326 0.279 0.395 0.357
3.131 0.318 0.283 0.398 0.349
3.232 0.313 0.285 0.402 0.343
3.333 0.309 0.284 0.407 0.338
3.434 0.306 0.280 0.413 0.335
3.535 0.305 0.275 0.420 0.332
3.636 0.305 0.267 0.428 0.331
3.737 0.307 0.257 0.436 0.331
3.838 0.310 0.245 0.445 0.332
3.939 0.315 0.232 0.453 0.334
4.040 0.321 0.219 0.461 0.337
4.141 0.327 0.206 0.467 0.341
4.242 0.334 0.193 0.472 0.346
4.343 0.342 0.182 0.475 0.352
4.444 0.350 0.174 0.476 0.359
4.545 0.358 0.169 0.473 0.366
4.646 0.365 0.168 0.468 0.375
4.747 0.371 0.170 0.458 0.383
4.848 0.377 0.177 0.446 0.393
4.949 0.382 0.187 0.431 0.402
5.051 0.386 0.200 0.413 0.412
5.152 0.390 0.216 0.394 0.423
5.253 0.393 0.234 0.373 0.433
5.354 0.396 0.253 0.352 0.444
5.455 0.398 0.271 0.330 0.455
5.556 0.401 0.289 0.309 0.465
5.657 0.405 0.306 0.289 0.476
5.758 0.409 0.322 0.269 0.487
5.859 0.415 0.335 0.250 0.497
5.960 0.421 0.347 0.232 0.507
6.061 0.429 0.356 0.215 0.516
6.162 0.438 0.363 0.199 0.526
6.263 0.449 0.367 0.184 0.534
6.364 0.462 0.369 0.169 0.543
6.465 0.477 0.368 0.155 0.550
6.566 0.493 0.366 0.141 0.558
6.667 0.512 0.361 0.127 0.564
6.768 0.532 0.355 0.114 0.570
6.869 0.554 0.347 0.100 0.575
6.970 0.577 0.337 0.086 0.580
7.071 0.602 0.327 0.071 0.584
7.172 0.627 0.316 0.056 0.587
7.273 0.653 0.306 0.041 0.590
7.374 0.678 0.297 0.025 0.592
7.475 0.703 0.289 0.009 0.593
7.576 0.725 0.283 -0.008 0.594
7.677 0.744 0.281 -0.025 0.594
7.778 0.759 0.282 -0.041 0.593
7.879 0.770 0.287 -0.057 0.592
7.980 0.777 0.295 -0.072 0.590
8.081 0.779 0.307 -0.085 0.588
8.182 0.776 0.322 -0.098 0.585
8.283 0.770 0.339 -0.109 0.582
8.384 0.761 0.357 -0.118 0.578
8.485 0.749 0.377 -0.126 0.574
8.586 0.736 0.397 -0.133 0.569
8.687 0.722 0.415 -0.138 0.564
8.788 0.709 0.433 -0.142 0.559
8.889 0.696 0.449 -0.144 0.553
8.990 0.684 0.463 -0.146 0.548
9.091 0.673 0.474 -0.147 0.542
9.192 0.665 0.483 -0.148 0.536
9.293 0.658 0.489 -0.148 0.530
9.394 0.654 0.493 -0.147 0.524
9.495 0.651 0.494 -0.145 0.518
9.596 0.651 0.492 -0.143 0.513
9.697 0.653 0.488 -0.140 0.507
9.798 0.656 0.481 -0.137 0.501
9.899 0.661 0.472 -0.132 0.496
10.000 0.666 0.460 -0.127 0.490
